turbine_name,blade_landing,tool_disconnected,dt_tool_connected,blade_landing_epoch,tool_disconnected_epoch
turbine-04,07/09/19 10:38,07/09/19 14:26,03:47:51,1567845517,1567859188
turbine-05,20/09/19 06:49,20/09/19 09:10,02:20:47,1568954978,1568963425
turbine-05,20/09/19 14:00,20/09/19 15:10,01:09:31,1568980853,1568985025
turbine-05,20/09/19 18:59,20/09/19 20:38,01:38:15,1568998793,1569004688
turbine-06,22/09/19 14:25,22/09/19 15:44,01:19:22,1569155122,1569159884
turbine-06,23/09/19 00:38,23/09/19 02:03,01:25:29,1569191899,1569197028
turbine-07,25/09/19 14:34,25/09/19 15:39,01:05:00,1569414882,1569418782
turbine-07,25/09/19 21:12,25/09/19 22:28,01:16:46,1569438731,1569443338
turbine-07,26/09/19 03:36,26/09/19 04:57,01:20:44,1569461777,1569466621
turbine-08,15/10/19 09:05,15/10/19 10:05,00:59:55,1571123113,1571126708
turbine-08,15/10/19 16:28,15/10/19 17:47,01:18:50,1571149693,1571154423
turbine-08,16/10/19 03:07,16/10/19 04:35,01:28:24,1571188044,1571193348
turbine-11,31/10/19 13:24,31/10/19 14:49,01:24:57,1572521089,1572526187
turbine-11,31/10/19 18:00,31/10/19 20:39,02:38:30,1572537645,1572547156
turbine-12,05/11/19 06:46,05/11/19 08:23,01:36:44,1572929202,1572935006
turbine-12,07/11/19 03:05,07/11/19 05:37,02:31:49,1573088723,1573097833
turbine-13,16/11/19 08:16,16/11/19 09:51,01:35:40,1573884978,1573890718
turbine-13,17/11/19 16:25,17/11/19 18:03,01:37:14,1574000757,1574006591
turbine-14,25/11/19 05:39,25/11/19 06:31,00:51:27,1574653175,1574656262
turbine-14,25/11/19 11:14,25/11/19 12:48,01:34:04,1574673280,1574678925
turbine-14,25/11/19 16:28,25/11/19 18:28,01:59:30,1574692109,1574699280
